answer,answerer,ask_time,company,question,source_url,stock_code
,,2026-07-03 06:51:52,英维克,"董秘好，两个问题辛苦回答
1：据相关消息称。公司已经收到海外客户的订单意向，且对未来的财务情况 有积极影响 是否是真的？
2：目前公司产品是否进入欧美关于ai工厂建设的供应链，以及产品是否得到英伟达的认证",https://irm.cninfo.com.cn/ircs/company/companyDetail?stockcode=002837,002837
,,2026-07-03 05:26:05,英维克,贵公司高管是否有增持或者回购公司股份的计划，以提振投资者信心？,https://irm.cninfo.com.cn/ircs/company/companyDetail?stockcode=002837,002837
,,2026-06-29 07:56:59,英维克,董秘您好。对于郑州和泰国基地进度、海外储能订单及净利率拐点，您用“有序推进、产能非瓶颈”空洞打发。股东要的是评估价值的量化数据，不是文学词汇。产能不是瓶颈，那产线何时实质性达产？一季度承压后，二季度究竟有没有迎来财务拐点？如果连基本的建设季度节点都成了“保密机密”，那这个互动平台除了浪费股东时间，还有什么存在的意义？,https://irm.cninfo.com.cn/ircs/company/companyDetail?stockcode=002837,002837
,,2026-06-29 07:55:46,英维克,董秘您好。公司对官微发文能迅速确认“属实”，但面对英伟达Vendor Code资质、Rubin液冷组件等核心关切，却一律以“商业保密”复读。同行中标液冷订单能大方公告，英维克作为龙头，在互动平台上连产品能否覆盖都含糊其辞。请问这种信息披露的巨大反差，是因为公司在AI液冷前沿项目上确实缺乏实质突破、底气不足，还是董秘办在主观消极应付？请正面作答,https://irm.cninfo.com.cn/ircs/company/companyDetail?stockcode=002837,002837
,,2026-06-29 07:51:23,英维克,董秘您好。《深交所上市规则》明确规定企业应当“积极、诚实、守信”地开展投资者关系管理。但面对谷歌CDU、英伟达供应链及海外产能等核心进展，您屡屡用“未达披露标准、以报告为准”机械复读。互动易是尊重股东知情权的窗口，而非流于形式的打卡任务。请正面回应：公司在高质量信披与商业保密之间究竟如何平衡？切勿再用万能模板敷衍推诿.,https://irm.cninfo.com.cn/ircs/company/companyDetail?stockcode=002837,002837
,,2026-06-28 01:48:58,英维克,您好！请问1.贵公司一季度净利润同比增长-80%，二季度会发布半年报预报吗？2.什么时候发布半年报？3.贵公司产品能否达到或者超越英伟达RUbin的各项性能指标要求吗？谢谢！,https://irm.cninfo.com.cn/ircs/company/companyDetail?stockcode=002837,002837
,,2026-06-28 00:53:15,英维克,尊敬的董秘，您好，请问盾安环境是否是公司的供应商。,https://irm.cninfo.com.cn/ircs/company/companyDetail?stockcode=002837,002837
,,2026-06-24 14:29:57,英维克,请问尊敬的董秘：一、请详细介绍一下公司的业务和产品以及正在研发的新产品都有哪些？都各自可以具体应用到哪些方面和领域？二、公司的资本运作情况如何？都具体参股了哪些公司？购买了哪些优质资产？三、请问公司在行业当中的优势和亮点以及未来发展前景、空间和方向如何？谢谢！,https://irm.cninfo.com.cn/ircs/company/companyDetail?stockcode=002837,002837
您好，如涉及对公司经营产生重大影响、达到披露标准且未涉及商业保密的客户合作信息，公司会通过法定信息披露媒体披露相关的公告。敬请投资者理性判断市场热点，注意投资风险。谢谢。,英维克,2026-06-03 00:18:15,英维克,为什么思泉中标液冷，第一时间发公告，咱们同属深圳上市公司，信息披露工作差距很大，从去年开始，到现在从未发过如此公告，难道是公司从未接到过液冷订单？还是董秘不作为？恳请董事会加强董秘工作管理，加强完善信披工作。,https://irm.cninfo.com.cn/ircs/company/companyDetail?stockcode=002837,002837
,,2026-06-21 07:32:50,英维克,谷歌宣布推出名为Brazos的开源机架式闭环液冷系统，公司对此有产品可以覆盖吗,https://irm.cninfo.com.cn/ircs/company/companyDetail?stockcode=002837,002837
您好，相关基地的建设正在有序推进中，公司不断根据营收规模增长有序扩大产能。目前公司整体的产能并未成为瓶颈。谢谢。,英维克,2026-06-06 14:35:52,英维克,"您好董秘：我这边有以下几个问题想咨询一下：
1. 公司郑州、泰国生产基地建设及产能爬坡进度如何，2026年液冷温控有效产能规划是多少？
​
2. 储能液冷产品海外项目落地情况，今年海外储能业务订单增速与营收占比有无阶段性目标？
​
3. 一季度盈利承压，后续依靠产能规模化降本，净利率拐点大致预计在哪个季度？",https://irm.cninfo.com.cn/ircs/company/companyDetail?stockcode=002837,002837
您好，公司微信公众号发布的相关消息是属实的，请注意投资风险。谢谢。,英维克,2026-05-18 06:34:29,英维克,请问微信公众号发布的宁夏中卫项目规模化应用贵司的间接蒸发冷却方案属实吗？规模化具体是占了整个项目散热投入的多少分份额？,https://irm.cninfo.com.cn/ircs/company/companyDetail?stockcode=002837,002837
您好，如涉及对公司经营产生重大影响、达到披露标准且未涉及商业保密的客户合作信息，公司会通过法定信息披露媒体披露相关的公告。敬请投资者理性判断市场热点，注意投资风险。谢谢。,英维克,2026-05-13 05:37:38,英维克,你好，请问公司是否进入英伟达Rubin系列芯片液冷供应链？谢谢！,https://irm.cninfo.com.cn/ircs/company/companyDetail?stockcode=002837,002837
您好，公司于每月初在互动易“公司声音”栏目中发布上月末股东人数信息，如有需要可定期查阅“公司声音”了解相关信息，谢谢。,英维克,2026-06-17 03:18:49,英维克,董秘您好，请问截止6月10日公司最新的股东户数是多少？谢谢！！,https://irm.cninfo.com.cn/ircs/company/companyDetail?stockcode=002837,002837
您好，如涉及对公司经营产生重大影响、达到披露标准且未涉及商业保密的客户合作信息，公司会通过法定信息披露媒体披露相关的公告。谢谢。,英维克,2026-06-11 08:16:02,英维克,尊敬的董秘您好，我5月份提了两个问题，现在6月份了，准备多会回答？公司是否真实在给英伟达供货？供的什么货？营收占比多少？请对投资者如实说，谢谢？,https://irm.cninfo.com.cn/ircs/company/companyDetail?stockcode=002837,002837
您好，公司于每月初在互动易“公司声音”栏目中发布上月末股东人数信息，如有需要可定期查阅“公司声音”了解相关信息，谢谢。,英维克,2026-06-06 04:55:06,英维克,请问公司现在的股东户数,https://irm.cninfo.com.cn/ircs/company/companyDetail?stockcode=002837,002837
您好，公司会根据具体需求的情况来决定最具竞争力的供应链模式。谢谢。,英维克,2026-06-05 08:28:28,英维克,咱们液冷管路是自己做还是外采，占比大概是多少？,https://irm.cninfo.com.cn/ircs/company/companyDetail?stockcode=002837,002837
